4213 W MARTIN LUTHER KING DR|3682-9-275.000|63113|Commercial|$15,000.00|$729.41|2025
5450 GENEVIEVE AV|5528-9-180.000|63120|Single Family Units|$10,939.00|$691.54|2023
4934 LILBURN AV|5467-9-330.000|63115|Single Family Units|$8,027.00|$335.79|2024
5893 HIGHLAND AV|5552-9-530.000|63112|Two Family Unit|$15,815.00|$599.60|2024
4548 CARTER AV|4415-9-050.000|63115|Single Family Units|$9,261.00|$377.69|2024
4425 BESSIE AV|4416-9-410.000|63115|Single Family Units|$4,164.00|$327.31|2023
6115 SHERRY AV|4887-9-240.000|63136|Single Family Units|$4,223.00|$330.25|2023
7819 N BROADWAY ST|4235-9-090.000|63147|Single Family Units|$6,335.00|$244.04|2024
5110 CATES AV|4842-9-220.000|63108|Single Family Units|$24,127.00|$1,212.56|2023
6026 HARNEY AV|5344-9-130.000|63136|Single Family Units|$4,657.00|$100.84|2025
6030 THEKLA AV|5347-9-150.000|63136|Single Family Units|$4,654.00|$100.84|2025
6008 HARNEY AV|5344-9-210.000|63107|Single Family Units|$4,813.00|$363.27|2023
615 LOGAN ST|5453-9-160.000|63147|Single Family Units|$3,012.00|$165.60|2024
3038 CLARENCE AV|4465-9-070.000|63115|Single Family Units|$6,616.00|$287.60|2024
4704 BEACON AV|5317-9-040.000|63120|Single Family Units|$5,025.00|$374.90|2023
4975 PLOVER AV|5398-9-280.000|63120|Single Family Units|$5,162.00|$382.84|2023
1422 FERRY ST|2439-9-080.000|63107|Single Family Units|$2,291.00|$224.28|2023
6009 LUCILLE AV|5345-9-260.000|63136|Single Family Units|$5,412.00|$395.44|2023
6036 LUCILLE AV|5346-9-120.000|63136|Single Family Units|$4,330.00|$210.20|2024
5649 ROOSEVELT PL|5244-9-550.000|63120|Single Family Units|$3,870.00|$309.83|2023
4821 GREER AV|4481-9-395.000|63115|Two Family Unit|$5,482.00|$249.41|2024
4894 MARGARETTA AV|4388-9-010.000|63115|Single Family Units|$6,566.00|$459.64|2023
8204 FREDERICK ST|5431-9-020.000|63147|Single Family Units|$5,730.00|$412.96|2023
8309 CHURCH RD|4250-9-160.000|63147|Single Family Units|$6,435.00|$450.83|2023
4911 ALCOTT AV|5292-9-490.000|63120|Single Family Units|$6,298.00|$442.94|2023
3602 MARCUS AV|4450-9-125.000|63115|Two Family Unit|$8,657.00|$162.24|2025
5855 PAGE BLVD|3823-9-205.000|63112|Two Family Unit|$11,398.00|$450.46|2024
5402 ST LOUIS AV|4825-9-550.000|63120|Commercial|$5,800.00|$175.54|2025
5703 HIGHLAND AV|5200-9-670.000|63112|Single Family Units|$6,634.00|$287.60|2024
4961 ALCOTT AV|5292-9-320.000|63120|Single Family Units|$6,616.00|$131.20|2025
5373 CLAXTON AV|5329-9-320.000|63120|Single Family Units|$6,726.00|$291.21|2024
5716 FLOY AV|5590-9-060.000|63136|Single Family Units|$6,786.00|$133.62|2025
5049 PLOVER AV|error accessing
5382 CLAXTON AV|5083-9-250.000|63120|Four Family Unit|$13,305.00|$307.34|2023
1029 SWITZER AV|4240-9-310.000|63147|Single Family Units|$7,925.00|$333.31|2024
8668 ORIOLE ST|4247-9-330.000|63147|Single Family Units|$22,220.00|$816.17|2024
5137 GILMORE AV|5392-9-090.000|63120|Single Family Units|$14,929.00|$259.67|2025
5861 PAGE BLVD|3823-9-215.000|63112|Single Family Units|$9,249.00|$373.65|2024
5431 RUSKIN AV|5080-9-330.000|63115|Single Family Units|$7,795.00|$522.57|2023
4215 CLAY AV|4896-9-200.000|63115|Single Family Units|$5,649.00|$116.41|2025
5729 TERRY AV|error accessing
5922 HAMILTON TER|3834-9-425.000|63112|Single Family Units|$8,925.00|$574.28|2023
1134 NEWHOUSE AV|2410-9-090.000|63107|Single Family Units|$5,480.00|$396.24|2023
5046 RUSKIN AV|5740-9-150.000|63115|Single Family Units|$15,022.00|$573.19|2024
5075 ALCOTT AV|5139-9-160.000|63120|Single Family Units|$8,602.00|$567.22|2023
6147 LUCILLE AV|4882-9-230.000|63112|Single Family Units|$24,024.00|$878.97|2024
5427 BEACON AV|5528-9-460.000|63120|Single Family Units|$8,954.00|$584.81|2023
3021 NEW ASHLAND PL|4466-9-461.000|63115|Single Family Units|$9,174.00|$596.41|2023
1908 SEMPLE AV|4522-9-050.000|63112|Single Family Units|$13,093.00|$809.32|2023
5234 BEACON AV|5532-9-080.000|63120|Single Family Units|$5,125.00|$380.77|2023
5616 W FLORISSANT AV|5131-9-160.000|63120|Single Family Units|$9,174.00|$596.41|2023
5238 MAFFITT AV|4503-9-055.000|63113|Single Family Units|$9,356.00|$380.36|2024
5248 MAFFITT AV|4503-9-035.000|63113|Single Family Units|$9,462.00|$613.96|2023
960 CANAAN AV|5276-9-060.000|63147|Single Family Units|$9,234.00|$602.30|2023
5948 KENNERLY AV|4995-9-100.000|63112|Single Family Units|$8,950.00|$365.78|2024
5044 ALCOTT AV|5138-9-150.000|63120|Single Family Units|$6,285.00|$442.94|2023
3920 N 23RD ST|1243-9-080.000||Single Family Units|$4,903.00|$366.14|2023
4153 GLASGOW AV|2425-9-170.000|63107|Single Family Units|$26,943.00|$447.16|2025
5115 CATES AV|4841-9-310.000|63108|Single Family Units|$10,413.00|$656.08|2023
5056 UNION BLVD|5087-9-210.000|63115|Single Family Units|$6,828.00|$472.13|2023
5238 PAULIAN PL|5283-9-070.000|63113|Two Family Unit|$8,966.00|$587.71|2023
936 MARYVILLE AV|3859-9-050.000|63112|Single Family Units|$20,429.00|$746.16|2024
4741 BEACON AV|5671-9-440.000|63120|Single Family Units|$7,571.00|$510.94|2023
5949 MINERVA AV|3835-9-435.000|63112|Two Family Unit|$10,248.00|$654.89|2023
5735 RIDGE AV|3818-9-400.000|63112|Single Family Units|$10,661.00|$665.68|2023
4765 PLOVER AV|5549-9-310.000|63120|Single Family Units|$7,995.00|$534.28|2023
5108 CATES AV|4842-9-230.000|63108|Two Family Unit|$10,391.00|$416.02|2024
4778 HIGHLAND AV|4477-9-045.000|63113|Single Family Units|$10,531.00|$673.21|2023
5578 ERA AV|5789-9-140.000|63136|Single Family Units|$9,366.00|$608.21|2023
5469 CLAXTON AV|5577-9-350.000|63120|Single Family Units|$10,726.00|$681.99|2023
5961 WELLS AV|3837-9-305.000|63112|Single Family Units|$7,506.00|$145.10|2025
5917 FERRIS AV|5720-9-190.000|63120|Single Family Units|$8,684.00|$356.64|2024
5082 RUSKIN AV|5740-9-250.000|63115|Single Family Units|$6,223.00|$439.25|2023
4663 LEE AV|4414-9-220.000|63115|Single Family Units|$18,202.00|$681.64|2024
5721 KENNERLY AV|5201-9-640.000|63112|Single Family Units|$19,152.00|$711.41|2024
4623 GREER AV|4462-9-525.000|63115|Single Family Units|$9,730.00|$179.46|2025
2800 ARLINGTON AV|4517-9-300.000|63120|Single Family Units|$11,514.00|$723.78|2023
5124 LABADIE AV|5229-9-095.000|63115|Two Family Unit|$11,130.00|$705.44|2023
5814 LOTUS AV|4992-9-290.000|63112|Two Family Unit|$11,604.00|$728.82|2023
5217 PAULIAN PL|5284-9-250.000|63113|Single Family Units|$11,203.00|$708.26|2023
